,Fare,Name,Age Group,Pclass,Sex,Survived,GroupSize,CabinDeck
356,55.0,"Bowerman, Miss. Elsie Edith",2,1,1,1.0,2,E
357,13.0,"Funk, Miss. Annie Clemmer",2,2,1,0.0,1,F
358,7.8792,"McGovern, Miss. Mary",2,3,1,1.0,1,F
359,7.8792,"Mockler, Miss. Helen Mary ""Ellie""",2,3,1,1.0,1,F
360,27.9,"Skoog, Mr. Wilhelm",2,3,0,0.0,6,G
361,27.7208,"del Carlo, Mr. Sebastiano",2,2,0,0.0,2,D
362,14.4542,"Barbara, Mrs. (Catherine David)",2,3,1,0.0,2,F
363,7.05,"Asim, Mr. Adola",2,3,0,0.0,1,F
364,15.5,"O'Brien, Mr. Thomas",2,3,0,0.0,2,F
365,7.25,"Adahl, Mr. Mauritz Nils Martin",2,3,0,0.0,1,F
366,75.25,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",2,1,1,1.0,2,D
367,7.2292,"Moussa, Mrs. (Mantoura Boulos)",2,3,1,1.0,1,E
368,7.75,"Jermyn, Miss. Annie",2,3,1,1.0,1,F
369,69.3,"Aubart, Mme. Leontine Pauline",2,1,1,1.0,2,B
370,55.4417,"Harder, Mr. George Achilles",2,1,0,1.0,2,E
371,6.4958,"Wiklund, Mr. Jakob Alfred",2,3,0,0.0,1,G
372,8.05,"Beavan, Mr. William Thomas",2,3,0,0.0,1,F
373,135.6333,"Ringhini, Mr. Sante",2,1,0,0.0,4,B
374,21075,"Palsson, Miss. Stina Viola",1,3,1,0.0,5,G
375,82.1708,"Meyer, Mrs. Edgar Joseph (Leila Saks)",2,1,1,1.0,2,A
376,7.25,"Landergren, Miss. Aurora Adelia",2,3,1,1.0,1,E
377,211.5,"Widener, Mr. Harry Elkins",2,1,0,0.0,5,C
378,4.0125,"Betros, Mr. Tannous",2,3,0,0.0,1,G
379,7775,"Gustafsson, Mr. Karl Gideon",2,3,0,0.0,1,F
380,227525,"Bidois, Miss. Rosalie",2,1,1,1.0,5,C
381,15.7417,"Nakid, Miss. Maria (""Mary"")",0,3,1,1.0,3,G
382,7925,"Tikkanen, Mr. Juho",2,3,0,0.0,1,F
383,52.0,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",2,1,1,1.0,2,A
384,7.8958,"Plotcharsky, Mr. Vasil",2,3,0,0.0,1,F
385,73.5,"Davies, Mr. Charles Henry",2,2,0,0.0,7,Unknown
386,46.9,"Goodwin, Master. Sidney Leonard",0,3,0,0.0,8,Unknown
387,13.0,"Buss, Miss. Kate",2,2,1,1.0,1,F
388,7.7292,"Sadlier, Mr. Matthew",2,3,0,0.0,1,F
389,12.0,"Lehmann, Miss. Bertha",1,2,1,1.0,1,Unknown
390,120.0,"Carter, Mr. William Ernest",2,1,0,1.0,4,B
391,7.7958,"Jansson, Mr. Carl Olof",2,3,0,1.0,1,F
392,7925,"Gustafsson, Mr. Johan Birger",2,3,0,0.0,1,F
393,113275,"Newell, Miss. Marjorie",2,1,1,1.0,3,D
394,16.7,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",2,3,1,1.0,3,G
395,7.7958,"Johansson, Mr. Erik",2,3,0,0.0,1,F
396,7.8542,"Olsson, Miss. Elina",2,3,1,0.0,1,F
397,26.0,"McKane, Mr. Peter David",2,2,0,0.0,2,F
398,10.5,"Pain, Dr. Alfred",2,2,0,0.0,1,F
399,12.65,"Trout, Mrs. William H (Jessie L)",2,2,1,1.0,1,F
400,7925,"Niskanen, Mr. Juha",2,3,0,1.0,1,F
401,8.05,"Adams, Mr. John",2,3,0,0.0,1,F
402,9825,"Jussila, Miss. Mari Aina",2,3,1,0.0,1,E
403,15.85,"Hakkarainen, Mr. Pekka Pietari",2,3,0,0.0,2,F
404,8.6625,"Oreskovic, Miss. Marija",2,3,1,0.0,1,E
405,21.0,"Gale, Mr. Shadrach",2,2,0,0.0,2,G
406,7.75,"Widegren, Mr. Carl/Charles Peter",2,3,0,0.0,1,F
407,18.75,"Richards, Master. William Rowe",1,2,0,1.0,3,G
408,7775,"Birkeland, Mr. Hans Martin Monsen",2,3,0,0.0,1,F
409,25.4667,"Lefebre, Miss. Ida",2,3,1,0.0,5,G
410,7.8958,"Sdycoff, Mr. Todor",2,3,0,0.0,1,F
411,6.8583,"Hart, Mr. Henry",2,3,0,0.0,1,G
412,90.0,"Minahan, Miss. Daisy E",2,1,1,1.0,3,C
413,0.0,"Cunningham, Mr. Alfred Fleming",2,2,0,0.0,3,G
414,7925,"Sundman, Mr. Johan Julian",2,3,0,1.0,1,F
415,8.05,"Meek, Mrs. Thomas (Annie Louise Rowley)",2,3,1,0.0,1,F
416,32.5,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,2,1,1.0,3,F
417,13.0,"Silven, Miss. Lyyli Karoliina",2,2,1,1.0,1,F
418,13.0,"Matthews, Mr. William John",2,2,0,0.0,1,F
419,24.15,"Van Impe, Miss. Catharina",1,3,1,0.0,3,F
420,7.8958,"Gheorgheff, Mr. Stanio",2,3,0,0.0,1,F
421,7.7333,"Charters, Mr. David",2,3,0,0.0,1,F
422,7875,"Zimmerman, Mr. Leo",2,3,0,0.0,1,F
423,14.4,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",2,3,1,0.0,3,G
424,20.2125,"Rosblom, Mr. Viktor Richard",2,3,0,0.0,3,G
425,7.25,"Wiseman, Mr. Phillippe",2,3,0,0.0,1,F
426,26.0,"Clarke, Mrs. Charles V (Ada Maria Winfield)",2,2,1,1.0,2,F
427,26.0,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",2,2,1,1.0,2,F
428,7.75,"Flynn, Mr. James",2,3,0,0.0,1,F
429,8.05,"Pickard, Mr. Berk (Berk Trembisky)",2,3,0,1.0,1,E
430,26.55,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",2,1,0,1.0,1,C
431,16.1,"Thorneycroft, Mrs. Percival (Florence Kate White)",2,3,1,1.0,2,F
432,26.0,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",2,2,1,1.0,2,F
433,7125,"Kallio, Mr. Nikolai Erland",1,3,0,0.0,1,F
434,55.9,"Silvey, Mr. William Baird",2,1,0,0.0,2,E
435,120.0,"Carter, Miss. Lucile Polk",1,1,1,1.0,4,B
436,34375,"Ford, Miss. Doolina Margaret ""Daisy""",2,3,1,0.0,5,G
437,18.75,"Richards, Mrs. Sidney (Emily Hocking)",2,2,1,1.0,3,G
438,263.0,"Fortune, Mr. Mark",2,1,0,0.0,6,C
439,10.5,"Kvillner, Mr. Johan Henrik Johannesson",2,2,0,0.0,1,F
440,26.25,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",2,2,1,1.0,3,G
441,9.5,"Hampe, Mr. Leon",2,3,0,0.0,1,E
442,7775,"Petterson, Mr. Johan Emil",2,3,0,0.0,1,F
443,13.0,"Reynaldo, Ms. Encarnacion",2,2,1,1.0,1,F
444,8.1125,"Johannesen-Bratthammer, Mr. Bernt",2,3,0,1.0,1,F
445,81.8583,"Dodge, Master. Washington",1,1,0,1.0,3,A
446,19.5,"Mellinger, Miss. Madeleine Violet",1,2,1,1.0,2,G
447,26.55,"Seward, Mr. Frederic Kimber",2,1,0,1.0,1,E
448,19.2583,"Baclini, Miss. Marie Catherine",1,3,1,1.0,4,G
449,30.5,"Peuchen, Major. Arthur Godfrey",2,1,0,1.0,1,C
450,27.75,"West, Mr. Edwy Arthur",2,2,0,0.0,4,G
451,19.9667,"Hagland, Mr. Ingvald Olai Olsen",2,3,0,0.0,1,E
452,27.75,"Foreman, Mr. Benjamin Laventall",2,1,0,0.0,1,C
453,89.1042,"Goldenberg, Mr. Samuel L",2,1,0,1.0,2,C
454,8.05,"Peduzzi, Mr. Joseph",2,3,0,0.0,1,F
455,7.8958,"Jalsevac, Mr. Ivan",2,3,0,1.0,1,F
456,26.55,"Millet, Mr. Francis Davis",2,1,0,0.0,1,E
457,51.8625,"Kenyon, Mrs. Frederick R (Marion)",2,1,1,1.0,2,D
458,10.5,"Toomey, Miss. Ellen",2,2,1,1.0,1,F
459,7.75,"O'Connor, Mr. Maurice",2,3,0,0.0,1,F
460,26.55,"Anderson, Mr. Harry",2,1,0,1.0,1,E
461,8.05,"Morley, Mr. William",2,3,0,0.0,1,F
462,38.5,"Gee, Mr. Arthur H",2,1,0,0.0,1,E
463,13.0,"Milling, Mr. Jacob Christian",2,2,0,0.0,1,F
464,8.05,"Maisner, Mr. Simon",2,3,0,0.0,1,F
465,7.05,"Goncalves, Mr. Manuel Estanslas",2,3,0,0.0,1,F
466,0.0,"Campbell, Mr. William",2,2,0,0.0,3,G
467,26.55,"Smart, Mr. John Montgomery",2,1,0,0.0,1,C
468,7725,"Scanlan, Mr. James",2,3,0,0.0,1,F
469,19.2583,"Baclini, Miss. Helene Barbara",0,3,1,1.0,4,G
470,7.25,"Keefe, Mr. Arthur",2,3,0,0.0,1,F
471,8.6625,"Cacic, Mr. Luka",2,3,0,0.0,1,E
472,27.75,"West, Mrs. Edwy Arthur (Ada Mary Worth)",2,2,1,1.0,4,G
473,13.7917,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",2,2,1,1.0,1,D
474,9.8375,"Strandberg, Miss. Ida Sofia",2,3,1,0.0,1,E
475,52.0,"Clifford, Mr. George Quincy",2,1,0,0.0,2,A
476,21.0,"Renouf, Mr. Peter Henry",2,2,0,0.0,2,G
477,7.0458,"Braund, Mr. Lewis Richard",2,3,0,0.0,1,F
478,7.5208,"Karlsson, Mr. Nils August",2,3,0,0.0,1,F
479,12.2875,"Hirvonen, Miss. Hildur E",0,3,1,1.0,2,G
480,46.9,"Goodwin, Master. Harold Victor",1,3,0,0.0,8,G
481,0.0,"Frost, Mr. Anthony Wood ""Archie""",2,2,0,0.0,1,F
482,8.05,"Rouse, Mr. Richard Henry",2,3,0,0.0,1,F
483,9.5875,"Turkula, Mrs. (Hedwig)",2,3,1,1.0,1,F
484,91.0792,"Bishop, Mr. Dickinson H",2,1,0,1.0,2,B
485,25.4667,"Lefebre, Miss. Jeannie",2,3,1,0.0,5,G
486,90.0,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",2,1,1,1.0,2,C
487,29.7,"Kent, Mr. Edward Austin",2,1,0,0.0,1,B
488,8.05,"Somerton, Mr. Francis William",2,3,0,0.0,1,F
489,15.9,"Coutts, Master. Eden Leslie ""Neville""",1,3,0,1.0,3,G
490,19.9667,"Hagland, Mr. Konrad Mathias Reiersen",2,3,0,0.0,1,E
491,7.25,"Windelov, Mr. Einar",2,3,0,0.0,1,F
492,30.5,"Molson, Mr. Harry Markland",2,1,0,0.0,1,C
493,49.5042,"Artagaveytia, Mr. Ramon",3,1,0,0.0,1,A
494,8.05,"Stanley, Mr. Edward Roland",2,3,0,0.0,1,F
495,14.4583,"Yousseff, Mr. Gerious",2,3,0,0.0,2,F
496,78.2667,"Eustis, Miss. Elizabeth Mussey",2,1,1,1.0,2,D
497,15.1,"Shellard, Mr. Frederick William",2,3,0,0.0,2,F
498,151.55,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",2,1,1,0.0,6,C
499,7.7958,"Svensson, Mr. Olof",2,3,0,0.0,1,F
500,8.6625,"Calic, Mr. Petar",1,3,0,0.0,1,E
501,7.75,"Canavan, Miss. Mary",2,3,1,0.0,1,F
502,7.6292,"O'Sullivan, Miss. Bridget Mary",2,3,1,0.0,1,F
503,9.5875,"Laitinen, Miss. Kristina Sofia",2,3,1,0.0,1,E
504,86.5,"Maioni, Miss. Roberta",1,1,1,1.0,3,B
505,108.9,"Penasco y Castellana, Mr. Victor de Satode",2,1,0,0.0,3,C
506,26.0,"Quick, Mrs. Frederick Charles (Jane Richards)",2,2,1,1.0,3,G
507,26.55,"Bradley, Mr. George (""George Arthur Brayton"")",2,1,0,1.0,1,E
508,22525,"Olsen, Mr. Henry Margido",2,3,0,0.0,3,F
509,56.4958,"Lang, Mr. Fang",2,3,0,1.0,8,Unknown
510,7.75,"Daly, Mr. Eugene Patrick",2,3,0,1.0,1,F
511,8.05,"Webber, Mr. James",2,3,0,0.0,1,F
512,26.2875,"McGough, Mr. James Robert",2,1,0,1.0,1,E
513,59.4,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",2,1,1,1.0,2,A
514,7.4958,"Coleff, Mr. Satio",2,3,0,0.0,1,F
515,34.0208,"Walker, Mr. William Anderson",2,1,0,0.0,1,D
516,10.5,"Lemore, Mrs. (Amelia Milley)",2,2,1,1.0,1,F
517,24.15,"Ryan, Mr. Patrick",2,3,0,0.0,3,F
518,26.0,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",2,2,1,1.0,2,F
519,7.8958,"Pavlovic, Mr. Stefo",2,3,0,0.0,1,F
520,93.5,"Perreault, Miss. Anne",2,1,1,1.0,4,B
521,7.8958,"Vovk, Mr. Janko",2,3,0,0.0,1,F
522,7225,"Lahoud, Mr. Sarkis",2,3,0,0.0,1,F
523,57.9792,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",2,1,1,1.0,2,B
524,7.2292,"Kassem, Mr. Fared",2,3,0,0.0,1,F
525,7.75,"Farrell, Mr. James",2,3,0,0.0,1,F
526,10.5,"Ridsdale, Miss. Lucy",2,2,1,1.0,1,F
527,221.7792,"Farthing, Mr. John",2,1,0,0.0,4,C
528,7925,"Salonen, Mr. Johan Werner",2,3,0,0.0,1,F
529,11.5,"Hocking, Mr. Richard George",2,2,0,0.0,1,F
530,26.0,"Quick, Miss. Phyllis May",0,2,1,1.0,3,G
531,7.2292,"Toufik, Mr. Nakli",2,3,0,0.0,1,F
532,7.2292,"Elias, Mr. Joseph Jr",1,3,0,0.0,1,F
533,22.3583,"Peter, Mrs. Catherine (Catherine Rizk)",2,3,1,1.0,3,F
534,8.6625,"Cacic, Miss. Marija",2,3,1,0.0,1,E
535,26.25,"Hart, Miss. Eva Miriam",1,2,1,1.0,3,G
536,26.55,"Butt, Major. Archibald Willingham",2,1,0,0.0,1,B
537,106425,"LeRoy, Miss. Bertha",2,1,1,1.0,3,D
538,14.5,"Risien, Mr. Samuel Beard",2,3,0,0.0,2,F
539,49.5,"Frolicher, Miss. Hedwig Margaritha",2,1,1,1.0,1,B
540,71.0,"Crosby, Miss. Harriet R",2,1,1,1.0,2,B
541,31275,"Andersson, Miss. Ingeborg Constanzia",1,3,1,0.0,7,G
542,31275,"Andersson, Miss. Sigrid Elisabeth",1,3,1,0.0,7,G
543,26.0,"Beane, Mr. Edward",2,2,0,1.0,2,F
544,106425,"Douglas, Mr. Walter Donald",2,1,0,0.0,3,C
545,26.0,"Nicholson, Mr. Arthur Ernest",2,1,0,0.0,1,C
546,26.0,"Beane, Mrs. Edward (Ethel Clarke)",2,2,1,1.0,2,F
547,13.8625,"Padro y Manent, Mr. Julian",2,2,0,1.0,1,D
548,20525,"Goldsmith, Mr. Frank John",2,3,0,0.0,3,G
549,36.75,"Davies, Master. John Morgan Jr",1,2,0,1.0,4,G
550,110.8833,"Thayer, Mr. John Borland Jr",1,1,0,1.0,4,C
551,26.0,"Sharp, Mr. Percival James R",2,2,0,0.0,2,F
552,7.8292,"O'Brien, Mr. Timothy",2,3,0,0.0,1,F
553,7225,"Leeni, Mr. Fahim (""Philip Zenni"")",2,3,0,1.0,1,E
554,7775,"Ohman, Miss. Velin",2,3,1,1.0,1,F
555,26.55,"Wright, Mr. George",2,1,0,0.0,1,C
556,39.6,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",2,1,1,1.0,1,A
557,227525,"Robbins, Mr. Victor",2,1,0,0.0,5,C
558,79.65,"Taussig, Mrs. Emil (Tillie Mandelbaum)",2,1,1,1.0,3,E
559,17.4,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",2,3,1,1.0,2,F
560,7.75,"Morrow, Mr. Thomas Rowan",2,3,0,0.0,1,F
561,7.8958,"Sivic, Mr. Husein",2,3,0,0.0,1,F
562,13.5,"Norman, Mr. Robert Douglas",2,2,0,0.0,1,D
563,8.05,"Simmons, Mr. John",2,3,0,0.0,1,F
564,8.05,"Meanwell, Miss. (Marion Ogden)",2,3,1,0.0,1,F
565,24.15,"Davies, Mr. Alfred J",2,3,0,0.0,3,F
566,7.8958,"Stoytcheff, Mr. Ilia",2,3,0,0.0,1,F
567,21075,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",2,3,1,0.0,5,G
568,7.2292,"Doharr, Mr. Tannous",2,3,0,0.0,1,F
569,7.8542,"Jonsson, Mr. Carl",2,3,0,1.0,1,F
570,10.5,"Harris, Mr. George",2,2,0,1.0,1,F
571,51.4792,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,1,1.0,2,C
572,26.3875,"Flynn, Mr. John Irwin (""Irving"")",2,1,0,1.0,1,E
573,7.75,"Kelly, Miss. Mary",2,3,1,1.0,1,F
574,8.05,"Rush, Mr. Alfred George John",1,3,0,0.0,1,F
575,14.5,"Patchett, Mr. George",2,3,0,0.0,2,F
576,13.0,"Garside, Miss. Ethel",2,2,1,1.0,1,F
577,55.9,"Silvey, Mrs. William Baird (Alice Munger)",2,1,1,1.0,2,E
578,14.4583,"Caram, Mrs. Joseph (Maria Elias)",2,3,1,0.0,2,F
579,7925,"Jussila, Mr. Eiriik",2,3,0,1.0,1,F
580,30.0,"Christy, Miss. Julie Rachel",2,2,1,1.0,2,D
581,110.8833,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",2,1,1,1.0,4,C
582,26.0,"Downton, Mr. William James",2,2,0,0.0,2,F
583,40125,"Ross, Mr. John Hugo",2,1,0,0.0,1,A
584,8.7125,"Paulner, Mr. Uscher",2,3,0,0.0,1,E
585,79.65,"Taussig, Miss. Ruth",2,1,1,1.0,3,E
586,15.0,"Jarvis, Mr. John Denzil",2,2,0,0.0,1,D
587,79.2,"Frolicher-Stehli, Mr. Maxmillian",2,1,0,1.0,2,B
588,8.05,"Gilinski, Mr. Eliezer",2,3,0,0.0,1,F
589,8.05,"Murdlin, Mr. Joseph",2,3,0,0.0,1,F
590,7125,"Rintamaki, Mr. Matti",2,3,0,0.0,1,F
591,78.2667,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",2,1,1,1.0,2,D
592,7.25,"Elsbury, Mr. William James",2,3,0,0.0,1,F
593,7.75,"Bourke, Miss. Mary",2,3,1,0.0,1,F
594,26.0,"Chapman, Mr. John Henry",2,2,0,0.0,2,F
595,24.15,"Van Impe, Mr. Jean Baptiste",2,3,0,0.0,3,F
596,33.0,"Leitch, Miss. Jessie Wills",2,2,1,1.0,3,F
597,0.0,"Johnson, Mr. Alfred",2,3,0,0.0,4,G
598,7225,"Boulos, Mr. Hanna",2,3,0,0.0,1,F
599,56.9292,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",2,1,0,1.0,2,A
600,27.0,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",2,2,1,1.0,2,D
601,7.8958,"Slabenoff, Mr. Petco",2,3,0,0.0,1,F
602,42.4,"Harrington, Mr. Charles H",2,1,0,0.0,2,A
603,8.05,"Torber, Mr. Ernst William",2,3,0,0.0,1,F
604,26.55,"Homer, Mr. Harry (""Mr E Haven"")",2,1,0,1.0,1,E
605,15.55,"Lindell, Mr. Edvard Bengtsson",2,3,0,0.0,2,F
606,7.8958,"Karaic, Mr. Milan",2,3,0,0.0,1,F
607,30.5,"Daniel, Mr. Robert Williams",2,1,0,1.0,1,D
608,41.5792,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",2,2,1,1.0,4,G
609,153.4625,"Shutes, Miss. Elizabeth W",2,1,1,1.0,3,C
610,31275,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",2,3,1,0.0,7,G
611,7.05,"Jardin, Mr. Jose Neto",2,3,0,0.0,1,F
612,15.5,"Murphy, Miss. Margaret Jane",2,3,1,1.0,2,F
613,7.75,"Horgan, Mr. John",2,3,0,0.0,1,F
614,8.05,"Brocklebank, Mr. William Alfred",2,3,0,0.0,1,F
615,65.0,"Herman, Miss. Alice",2,2,1,1.0,5,F
616,14.4,"Danbom, Mr. Ernst Gilbert",2,3,0,0.0,3,G
617,16.1,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",2,3,1,0.0,2,F
618,39.0,"Becker, Miss. Marion Louise",1,2,1,1.0,4,F
619,10.5,"Gavey, Mr. Lawrence",2,2,0,0.0,1,F
620,14.4542,"Yasbeck, Mr. Antoni",2,3,0,0.0,2,F
621,52.5542,"Kimball, Mr. Edwin Nelson Jr",2,1,0,1.0,2,D
622,15.7417,"Nakid, Mr. Sahid",2,3,0,1.0,3,G
623,7.8542,"Hansen, Mr. Henry Damsgaard",2,3,0,0.0,1,F
624,16.1,"Bowen, Mr. David John ""Dai""",2,3,0,0.0,2,F
625,32.3208,"Sutton, Mr. Frederick",2,1,0,0.0,1,D
626,12.35,"Kirkland, Rev. Charles Leonard",2,2,0,0.0,1,F
627,77.9583,"Longley, Miss. Gretchen Fiske",2,1,1,1.0,3,D
628,7.8958,"Bostandyeff, Mr. Guentcho",2,3,0,0.0,1,F
629,7.7333,"O'Connell, Mr. Patrick D",2,3,0,0.0,1,F
630,30.0,"Barkworth, Mr. Algernon Henry Wilson",3,1,0,1.0,1,A
631,7.0542,"Lundahl, Mr. Johan Svensson",2,3,0,0.0,1,F
632,30.5,"Stahelin-Maeglin, Dr. Max",2,1,0,1.0,1,B
633,0.0,"Parr, Mr. William Henry Marsh",2,1,0,0.0,1,C
634,27.9,"Skoog, Miss. Mabel",1,3,1,0.0,6,G
635,13.0,"Davis, Miss. Mary",2,2,1,1.0,1,F
636,7925,"Leinonen, Mr. Antti Gustaf",2,3,0,0.0,1,F
637,26.25,"Collyer, Mr. Harvey",2,2,0,0.0,3,G
638,39.6875,"Panula, Mrs. Juha (Maria Emilia Ojala)",2,3,1,0.0,7,G
639,16.1,"Thorneycroft, Mr. Percival",2,3,0,0.0,2,F
640,7.8542,"Jensen, Mr. Hans Peder",2,3,0,0.0,1,F
641,69.3,"Sagesser, Mlle. Emma",2,1,1,1.0,2,B
642,27.9,"Skoog, Miss. Margit Elizabeth",0,3,1,0.0,6,G
643,56.4958,"Foo, Mr. Choong",2,3,0,1.0,8,Unknown
644,19.2583,"Baclini, Miss. Eugenie",0,3,1,1.0,4,G
645,76.7292,"Harper, Mr. Henry Sleeper",2,1,0,1.0,3,D
646,7.8958,"Cor, Mr. Liudevit",2,3,0,0.0,1,F
647,35.5,"Simonius-Blumer, Col. Oberst Alfons",2,1,0,1.0,1,A
648,7.55,"Willey, Mr. Edward",2,3,0,0.0,1,F
649,7.55,"Stanley, Miss. Amy Zillah Elsie",2,3,1,1.0,1,F
650,7.8958,"Mitkoff, Mr. Mito",2,3,0,0.0,1,F
651,23.0,"Doling, Miss. Elsie",2,2,1,1.0,2,F
652,8.4333,"Kalvik, Mr. Johannes Halvorsen",2,3,0,0.0,1,F
653,7.8292,"O'Leary, Miss. Hanora ""Norah""",2,3,1,1.0,1,F
654,6.75,"Hegarty, Miss. Hanora ""Nora""",2,3,1,0.0,1,G
655,73.5,"Hickman, Mr. Leonard Mark",2,2,0,0.0,7,Unknown
656,7.8958,"Radeff, Mr. Alexander",2,3,0,0.0,1,F
657,15.5,"Bourke, Mrs. John (Catherine)",2,3,1,0.0,2,F
658,13.0,"Eitemiller, Mr. George Floyd",2,2,0,0.0,1,F
659,113275,"Newell, Mr. Arthur Webster",2,1,0,0.0,3,D
660,133.65,"Frauenthal, Dr. Henry William",2,1,0,1.0,2,A
661,7225,"Badt, Mr. Mohamed",2,3,0,0.0,1,F
662,25.5875,"Colley, Mr. Edward Pomeroy",2,1,0,0.0,1,E
663,7.4958,"Coleff, Mr. Peju",2,3,0,0.0,1,F
664,7925,"Lindqvist, Mr. Eino William",2,3,0,1.0,1,F
665,73.5,"Hickman, Mr. Lewis",2,2,0,0.0,7,Unknown
666,13.0,"Butler, Mr. Reginald Fenton",2,2,0,0.0,1,F
667,7775,"Rommetvedt, Mr. Knud Paust",2,3,0,0.0,1,F
668,8.05,"Cook, Mr. Jacob",2,3,0,0.0,1,F
669,52.0,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",2,1,1,1.0,2,C
670,39.0,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",2,2,1,1.0,3,F
671,52.0,"Davidson, Mr. Thornton",2,1,0,0.0,2,B
672,10.5,"Mitchell, Mr. Henry Michael",3,2,0,0.0,1,G
673,13.0,"Wilhelms, Mr. Charles",2,2,0,1.0,1,F
674,0.0,"Watson, Mr. Ennis Hastings",2,2,0,0.0,1,F
675,7775,"Edvardsson, Mr. Gustaf Hjalmar",2,3,0,0.0,1,F
676,8.05,"Sawyer, Mr. Frederick Charles",2,3,0,0.0,1,F
677,9.8417,"Turja, Miss. Anna Sofia",2,3,1,1.0,1,F
678,46.9,"Goodwin, Mrs. Frederick (Augusta Tyler)",2,3,1,0.0,8,Unknown
679,512.3292,"Cardeza, Mr. Thomas Drake Martinez",2,1,0,1.0,4,B
680,8.1375,"Peters, Miss. Katie",2,3,1,0.0,1,F
681,76.7292,"Hassab, Mr. Hammad",2,1,0,1.0,3,D
682,9225,"Olsvigen, Mr. Thor Anderson",2,3,0,0.0,1,E
683,46.9,"Goodwin, Mr. Charles Edward",1,3,0,0.0,8,G
684,39.0,"Brown, Mr. Thomas William Solomon",2,2,0,0.0,3,F
685,41.5792,"Laroche, Mr. Joseph Philippe Lemercier",2,2,0,0.0,4,G
686,39.6875,"Panula, Mr. Jaako Arnold",1,3,0,0.0,7,G
687,10.1708,"Dakic, Mr. Branko",2,3,0,0.0,1,E
688,7.7958,"Fischer, Mr. Eberhard Thelander",2,3,0,0.0,1,F
689,211.3375,"Madill, Miss. Georgette Alexandra",1,1,1,1.0,4,B
690,57.0,"Dick, Mr. Albert Adrian",2,1,0,1.0,2,B
691,13.4167,"Karun, Miss. Manca",1,3,1,1.0,2,E
692,56.4958,"Lam, Mr. Ali",2,3,0,1.0,8,Unknown
693,7225,"Saad, Mr. Khalil",2,3,0,0.0,1,F
694,26.55,"Weir, Col. John",2,1,0,0.0,1,C
695,13.5,"Chapman, Mr. Charles Henry",2,2,0,0.0,1,D
696,8.05,"Kelly, Mr. James",2,3,0,0.0,1,F
697,7.7333,"Mullens, Miss. Katherine ""Katie""",2,3,1,1.0,1,F
698,110.8833,"Thayer, Mr. John Borland",2,1,0,0.0,4,C
699,7.65,"Humblen, Mr. Adolf Mathias Nicolai Olsen",2,3,0,0.0,1,F
700,227525,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",2,1,1,1.0,5,C
701,26.2875,"Silverthorne, Mr. Spencer Victor",2,1,0,1.0,1,E
702,14.4542,"Barbara, Miss. Saiide",2,3,1,0.0,2,F
703,7.7417,"Gallagher, Mr. Martin",2,3,0,0.0,1,F
704,7.8542,"Hansen, Mr. Henrik Juul",2,3,0,0.0,1,F
705,26.0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",2,2,0,0.0,2,F
706,13.5,"Kelly, Mrs. Florence ""Fannie""",2,2,1,1.0,1,D
707,26.2875,"Calderhead, Mr. Edward Pennington",2,1,0,1.0,1,E
708,151.55,"Cleaver, Miss. Alice",2,1,1,1.0,6,C
709,15.2458,"Moubarek, Master. Halim Gonios (""William George"")",2,3,0,1.0,3,G
710,49.5042,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",2,1,1,1.0,1,C
711,26.55,"Klaber, Mr. Herman",2,1,0,0.0,1,C
712,52.0,"Taylor, Mr. Elmer Zebley",2,1,0,1.0,2,C
